region_bld,region_gea,urt,inc_cl,arch,fuel_heat,value
C-EEU-EST,EEU,rur,d4,sfh,coal,0.232
C-EEU-EST,EEU,rur,d4,sfh,electricity,0.084
C-EEU-EST,EEU,rur,d4,sfh,gas,0.264
C-EEU-EST,EEU,rur,d4,sfh,oil,0.033
C-EEU-EST,EEU,rur,d5,mfh,biomass_solid,0.387
C-EEU-EST,EEU,rur,d5,mfh,coal,0.232
C-EEU-EST,EEU,rur,d5,mfh,electricity,0.084
C-EEU-EST,EEU,rur,d5,mfh,gas,0.264
C-EEU-EST,EEU,rur,d5,mfh,oil,0.033
C-EEU-EST,EEU,rur,d5,sfh,biomass_solid,0.387
C-EEU-EST,EEU,rur,d5,sfh,coal,0.232
C-EEU-EST,EEU,rur,d5,sfh,electricity,0.084
C-EEU-EST,EEU,rur,d5,sfh,gas,0.264
C-EEU-EST,EEU,rur,d5,sfh,oil,0.033
C-EEU-EST,EEU,rur,d6,mfh,biomass_solid,0.387
C-EEU-EST,EEU,rur,d6,mfh,coal,0.232
C-EEU-EST,EEU,rur,d6,mfh,electricity,0.084
C-EEU-EST,EEU,rur,d6,mfh,gas,0.264
C-EEU-EST,EEU,rur,d6,mfh,oil,0.033
C-EEU-EST,EEU,rur,d6,sfh,biomass_solid,0.387
C-EEU-EST,EEU,rur,d6,sfh,coal,0.232
C-EEU-EST,EEU,rur,d6,sfh,electricity,0.084
C-EEU-EST,EEU,rur,d6,sfh,gas,0.264
C-EEU-EST,EEU,rur,d6,sfh,oil,0.033
C-EEU-EST,EEU,rur,d7,mfh,biomass_solid,0.387
C-EEU-EST,EEU,rur,d7,mfh,coal,0.232
C-EEU-EST,EEU,rur,d7,mfh,electricity,0.084
C-EEU-EST,EEU,rur,d7,mfh,gas,0.264
C-EEU-EST,EEU,rur,d7,mfh,oil,0.033
C-EEU-EST,EEU,rur,d7,sfh,biomass_solid,0.387
C-EEU-EST,EEU,rur,d7,sfh,coal,0.232
C-EEU-EST,EEU,rur,d7,sfh,electricity,0.084
C-EEU-EST,EEU,rur,d7,sfh,gas,0.264
C-EEU-EST,EEU,rur,d7,sfh,oil,0.033
C-EEU-EST,EEU,rur,d8,mfh,biomass_solid,0.387
C-EEU-EST,EEU,rur,d8,mfh,coal,0.232
C-EEU-EST,EEU,rur,d8,mfh,electricity,0.084
C-EEU-EST,EEU,rur,d8,mfh,gas,0.264
C-EEU-EST,EEU,rur,d8,mfh,oil,0.033
C-EEU-EST,EEU,rur,d8,sfh,biomass_solid,0.387
C-EEU-EST,EEU,rur,d8,sfh,coal,0.232
C-EEU-EST,EEU,rur,d8,sfh,electricity,0.084
C-EEU-EST,EEU,rur,d8,sfh,gas,0.264
C-EEU-EST,EEU,rur,d8,sfh,oil,0.033
C-EEU-EST,EEU,rur,d9,mfh,biomass_solid,0.387
C-EEU-EST,EEU,rur,d9,mfh,coal,0.232
C-EEU-EST,EEU,rur,d9,mfh,electricity,0.084
C-EEU-EST,EEU,rur,d9,mfh,gas,0.264
C-EEU-EST,EEU,rur,d9,mfh,oil,0.033
C-EEU-EST,EEU,rur,d9,sfh,biomass_solid,0.387
C-EEU-EST,EEU,rur,d9,sfh,coal,0.232
C-EEU-EST,EEU,rur,d9,sfh,electricity,0.084
C-EEU-EST,EEU,rur,d9,sfh,gas,0.264
C-EEU-EST,EEU,rur,d9,sfh,oil,0.033
C-EEU-EST,EEU,rur,d10,mfh,biomass_solid,0.387
C-EEU-EST,EEU,rur,d10,mfh,coal,0.232
C-EEU-EST,EEU,rur,d10,mfh,electricity,0.084
C-EEU-EST,EEU,rur,d10,mfh,gas,0.264
C-EEU-EST,EEU,rur,d10,mfh,oil,0.033
C-EEU-EST,EEU,rur,d10,sfh,biomass_solid,0.387
C-EEU-EST,EEU,rur,d10,sfh,coal,0.232
C-EEU-EST,EEU,rur,d10,sfh,electricity,0.084
C-EEU-EST,EEU,rur,d10,sfh,gas,0.264
C-EEU-EST,EEU,rur,d10,sfh,oil,0.033
C-EEU-EST,EEU,urb,d1,mfh,biomass_solid,0.000
C-EEU-EST,EEU,urb,d1,mfh,coal,0.378
C-EEU-EST,EEU,urb,d1,mfh,electricity,0.137
C-EEU-EST,EEU,urb,d1,mfh,gas,0.431
C-EEU-EST,EEU,urb,d1,mfh,oil,0.055
C-EEU-EST,EEU,urb,d1,sfh,biomass_solid,0.000
C-EEU-EST,EEU,urb,d1,sfh,coal,0.378
C-EEU-EST,EEU,urb,d1,sfh,electricity,0.137
C-EEU-EST,EEU,urb,d1,sfh,gas,0.431
C-EEU-EST,EEU,urb,d1,sfh,oil,0.055
C-EEU-EST,EEU,urb,d2,mfh,biomass_solid,0.000
C-EEU-EST,EEU,urb,d2,mfh,coal,0.378
C-EEU-EST,EEU,urb,d2,mfh,electricity,0.137
C-EEU-EST,EEU,urb,d2,mfh,gas,0.431
C-EEU-EST,EEU,urb,d2,mfh,oil,0.055
C-EEU-EST,EEU,urb,d2,sfh,biomass_solid,0.000
C-EEU-EST,EEU,urb,d2,sfh,coal,0.378
C-EEU-EST,EEU,urb,d2,sfh,electricity,0.137
C-EEU-EST,EEU,urb,d2,sfh,gas,0.431
C-EEU-EST,EEU,urb,d2,sfh,oil,0.055
C-EEU-EST,EEU,urb,d3,mfh,biomass_solid,0.000
C-EEU-EST,EEU,urb,d3,mfh,coal,0.378
C-EEU-EST,EEU,urb,d3,mfh,electricity,0.137
C-EEU-EST,EEU,urb,d3,mfh,gas,0.431
C-EEU-EST,EEU,urb,d3,mfh,oil,0.055
C-EEU-EST,EEU,urb,d3,sfh,biomass_solid,0.000
C-EEU-EST,EEU,urb,d3,sfh,coal,0.378
C-EEU-EST,EEU,urb,d3,sfh,electricity,0.137
C-EEU-EST,EEU,urb,d3,sfh,gas,0.431
C-EEU-EST,EEU,urb,d3,sfh,oil,0.055
C-EEU-EST,EEU,urb,d4,mfh,biomass_solid,0.000
C-EEU-EST,EEU,urb,d4,mfh,coal,0.378
C-EEU-EST,EEU,urb,d4,mfh,electricity,0.137
C-EEU-EST,EEU,urb,d4,mfh,gas,0.431
C-EEU-EST,EEU,urb,d4,mfh,oil,0.055
C-EEU-EST,EEU,urb,d4,sfh,biomass_solid,0.000
C-EEU-EST,EEU,urb,d4,sfh,coal,0.378
C-EEU-EST,EEU,urb,d4,sfh,electricity,0.137
C-EEU-EST,EEU,urb,d4,sfh,gas,0.431
C-EEU-EST,EEU,urb,d4,sfh,oil,0.055
C-EEU-EST,EEU,urb,d5,mfh,biomass_solid,0.000
C-EEU-EST,EEU,urb,d5,mfh,coal,0.378
C-EEU-EST,EEU,urb,d5,mfh,electricity,0.137
C-EEU-EST,EEU,urb,d5,mfh,gas,0.431
C-EEU-EST,EEU,urb,d5,mfh,oil,0.055
C-EEU-EST,EEU,urb,d5,sfh,biomass_solid,0.000
C-EEU-EST,EEU,urb,d5,sfh,coal,0.378
C-EEU-EST,EEU,urb,d5,sfh,electricity,0.137
C-EEU-EST,EEU,urb,d5,sfh,gas,0.431
C-EEU-EST,EEU,urb,d5,sfh,oil,0.055
C-EEU-EST,EEU,urb,d6,mfh,biomass_solid,0.000
C-EEU-EST,EEU,urb,d6,mfh,coal,0.378
C-EEU-EST,EEU,urb,d6,mfh,electricity,0.137
C-EEU-EST,EEU,urb,d6,mfh,gas,0.431
C-EEU-EST,EEU,urb,d6,mfh,oil,0.055
C-EEU-EST,EEU,urb,d6,sfh,biomass_solid,0.000
C-EEU-EST,EEU,urb,d6,sfh,coal,0.378
C-EEU-EST,EEU,urb,d6,sfh,electricity,0.137
C-EEU-EST,EEU,urb,d6,sfh,gas,0.431
C-EEU-EST,EEU,urb,d6,sfh,oil,0.055
C-EEU-EST,EEU,urb,d7,mfh,biomass_solid,0.000
C-EEU-EST,EEU,urb,d7,mfh,coal,0.378
C-EEU-EST,EEU,urb,d7,mfh,electricity,0.137
C-EEU-EST,EEU,urb,d7,mfh,gas,0.431
C-EEU-EST,EEU,urb,d7,mfh,oil,0.055
C-EEU-EST,EEU,urb,d7,sfh,biomass_solid,0.000
C-EEU-EST,EEU,urb,d7,sfh,coal,0.378
C-EEU-EST,EEU,urb,d7,sfh,electricity,0.137
C-EEU-EST,EEU,urb,d7,sfh,gas,0.431
C-EEU-EST,EEU,urb,d7,sfh,oil,0.055
C-EEU-EST,EEU,urb,d8,mfh,biomass_solid,0.000
C-EEU-EST,EEU,urb,d8,mfh,coal,0.378
C-EEU-EST,EEU,urb,d8,mfh,electricity,0.137
C-EEU-EST,EEU,urb,d8,mfh,gas,0.431
C-EEU-EST,EEU,urb,d8,mfh,oil,0.055
C-EEU-EST,EEU,urb,d8,sfh,biomass_solid,0.000
C-EEU-EST,EEU,urb,d8,sfh,coal,0.378
C-EEU-EST,EEU,urb,d8,sfh,electricity,0.137
C-EEU-EST,EEU,urb,d8,sfh,gas,0.431
C-EEU-EST,EEU,urb,d8,sfh,oil,0.055
C-EEU-EST,EEU,urb,d9,mfh,biomass_solid,0.000
C-EEU-EST,EEU,urb,d9,mfh,coal,0.378
C-EEU-EST,EEU,urb,d9,mfh,electricity,0.137
C-EEU-EST,EEU,urb,d9,mfh,gas,0.431
C-EEU-EST,EEU,urb,d9,mfh,oil,0.055
C-EEU-EST,EEU,urb,d9,sfh,biomass_solid,0.000
C-EEU-EST,EEU,urb,d9,sfh,coal,0.378
C-EEU-EST,EEU,urb,d9,sfh,electricity,0.137
C-EEU-EST,EEU,urb,d9,sfh,gas,0.431
C-EEU-EST,EEU,urb,d9,sfh,oil,0.055
C-EEU-EST,EEU,urb,d10,mfh,biomass_solid,0.000
C-EEU-EST,EEU,urb,d10,mfh,coal,0.378
C-EEU-EST,EEU,urb,d10,mfh,electricity,0.137
C-EEU-EST,EEU,urb,d10,mfh,gas,0.431
C-EEU-EST,EEU,urb,d10,mfh,oil,0.055
C-EEU-EST,EEU,urb,d10,sfh,biomass_solid,0.000
C-EEU-EST,EEU,urb,d10,sfh,coal,0.378
C-EEU-EST,EEU,urb,d10,sfh,electricity,0.137
C-EEU-EST,EEU,urb,d10,sfh,gas,0.431
C-EEU-EST,EEU,urb,d10,sfh,oil,0.055
C-EEU-HRV,EEU,rur,d1,mfh,biomass_solid,0.387
C-EEU-HRV,EEU,rur,d1,mfh,coal,0.232
C-EEU-HRV,EEU,rur,d1,mfh,electricity,0.084
C-EEU-HRV,EEU,rur,d1,mfh,gas,0.264
C-EEU-HRV,EEU,rur,d1,mfh,oil,0.033
C-EEU-HRV,EEU,rur,d1,sfh,biomass_solid,0.387
C-EEU-HRV,EEU,rur,d1,sfh,coal,0.232
C-EEU-HRV,EEU,rur,d1,sfh,electricity,0.084
C-EEU-HRV,EEU,rur,d1,sfh,gas,0.264
C-EEU-HRV,EEU,rur,d1,sfh,oil,0.033
C-EEU-HRV,EEU,rur,d2,mfh,biomass_solid,0.387
C-EEU-HRV,EEU,rur,d2,mfh,coal,0.232
C-EEU-HRV,EEU,rur,d2,mfh,electricity,0.084
C-EEU-HRV,EEU,rur,d2,mfh,gas,0.264
C-EEU-HRV,EEU,rur,d2,mfh,oil,0.033
C-EEU-HRV,EEU,rur,d2,sfh,biomass_solid,0.387
C-EEU-HRV,EEU,rur,d2,sfh,coal,0.232
C-EEU-HRV,EEU,rur,d2,sfh,electricity,0.084
C-EEU-HRV,EEU,rur,d2,sfh,gas,0.264
C-EEU-HRV,EEU,rur,d2,sfh,oil,0.033
C-EEU-HRV,EEU,rur,d3,mfh,biomass_solid,0.387
C-EEU-HRV,EEU,rur,d3,mfh,coal,0.232
C-EEU-HRV,EEU,rur,d3,mfh,electricity,0.084
C-EEU-HRV,EEU,rur,d3,mfh,gas,0.264
C-EEU-HRV,EEU,rur,d3,mfh,oil,0.033
C-EEU-HRV,EEU,rur,d3,sfh,biomass_solid,0.387
C-EEU-HRV,EEU,rur,d3,sfh,coal,0.232
C-EEU-HRV,EEU,rur,d3,sfh,electricity,0.084
C-EEU-HRV,EEU,rur,d3,sfh,gas,0.264
C-EEU-HRV,EEU,rur,d3,sfh,oil,0.033
C-EEU-HRV,EEU,rur,d4,mfh,biomass_solid,0.387
C-EEU-HRV,EEU,rur,d4,mfh,coal,0.232
C-EEU-HRV,EEU,rur,d4,mfh,electricity,0.084
C-EEU-HRV,EEU,rur,d4,mfh,gas,0.264
C-EEU-HRV,EEU,rur,d4,mfh,oil,0.033
C-EEU-HRV,EEU,rur,d4,sfh,biomass_solid,0.387
C-EEU-HRV,EEU,rur,d4,sfh,coal,0.232
C-EEU-HRV,EEU,rur,d4,sfh,electricity,0.084
C-EEU-HRV,EEU,rur,d4,sfh,gas,0.264
C-EEU-HRV,EEU,rur,d4,sfh,oil,0.033
C-EEU-HRV,EEU,rur,d5,mfh,biomass_solid,0.387
C-EEU-HRV,EEU,rur,d5,mfh,coal,0.232
C-EEU-HRV,EEU,rur,d5,mfh,electricity,0.084
C-EEU-HRV,EEU,rur,d5,mfh,gas,0.264
C-EEU-HRV,EEU,rur,d5,mfh,oil,0.033
C-EEU-HRV,EEU,rur,d5,sfh,biomass_solid,0.387
C-EEU-HRV,EEU,rur,d5,sfh,coal,0.232
C-EEU-HRV,EEU,rur,d5,sfh,electricity,0.084
C-EEU-HRV,EEU,rur,d5,sfh,gas,0.264
C-EEU-HRV,EEU,rur,d5,sfh,oil,0.033
C-EEU-HRV,EEU,rur,d6,mfh,biomass_solid,0.387
C-EEU-HRV,EEU,rur,d6,mfh,coal,0.232
C-EEU-HRV,EEU,rur,d6,mfh,electricity,0.084
C-EEU-HRV,EEU,rur,d6,mfh,gas,0.264
C-EEU-HRV,EEU,rur,d6,mfh,oil,0.033
C-EEU-HRV,EEU,rur,d6,sfh,biomass_solid,0.387
C-EEU-HRV,EEU,rur,d6,sfh,coal,0.232
C-EEU-HRV,EEU,rur,d6,sfh,electricity,0.084
C-EEU-HRV,EEU,rur,d6,sfh,gas,0.264
C-EEU-HRV,EEU,rur,d6,sfh,oil,0.033
C-EEU-HRV,EEU,rur,d7,mfh,biomass_solid,0.387
C-EEU-HRV,EEU,rur,d7,mfh,coal,0.232
C-EEU-HRV,EEU,rur,d7,mfh,electricity,0.084
C-EEU-HRV,EEU,rur,d7,mfh,gas,0.264
C-EEU-HRV,EEU,rur,d7,mfh,oil,0.033
C-EEU-HRV,EEU,rur,d7,sfh,biomass_solid,0.387
C-EEU-HRV,EEU,rur,d7,sfh,coal,0.232
C-EEU-HRV,EEU,rur,d7,sfh,electricity,0.084
C-EEU-HRV,EEU,rur,d7,sfh,gas,0.264
C-EEU-HRV,EEU,rur,d7,sfh,oil,0.033
C-EEU-HRV,EEU,rur,d8,mfh,biomass_solid,0.387
C-EEU-HRV,EEU,rur,d8,mfh,coal,0.232
C-EEU-HRV,EEU,rur,d8,mfh,electricity,0.084
C-EEU-HRV,EEU,rur,d8,mfh,gas,0.264
C-EEU-HRV,EEU,rur,d8,mfh,oil,0.033
C-EEU-HRV,EEU,rur,d8,sfh,biomass_solid,0.387
C-EEU-HRV,EEU,rur,d8,sfh,coal,0.232
C-EEU-HRV,EEU,rur,d8,sfh,electricity,0.084
C-EEU-HRV,EEU,rur,d8,sfh,gas,0.264
C-EEU-HRV,EEU,rur,d8,sfh,oil,0.033
C-EEU-HRV,EEU,rur,d9,mfh,biomass_solid,0.387
C-EEU-HRV,EEU,rur,d9,mfh,coal,0.232
C-EEU-HRV,EEU,rur,d9,mfh,electricity,0.084
C-EEU-HRV,EEU,rur,d9,mfh,gas,0.264
C-EEU-HRV,EEU,rur,d9,mfh,oil,0.033
C-EEU-HRV,EEU,rur,d9,sfh,biomass_solid,0.387
C-EEU-HRV,EEU,rur,d9,sfh,coal,0.232
C-EEU-HRV,EEU,rur,d9,sfh,electricity,0.084
C-EEU-HRV,EEU,rur,d9,sfh,gas,0.264
C-EEU-HRV,EEU,rur,d9,sfh,oil,0.033
C-EEU-HRV,EEU,rur,d10,mfh,biomass_solid,0.387
C-EEU-HRV,EEU,rur,d10,mfh,coal,0.232
C-EEU-HRV,EEU,rur,d10,mfh,electricity,0.084
C-EEU-HRV,EEU,rur,d10,mfh,gas,0.264
C-EEU-HRV,EEU,rur,d10,mfh,oil,0.033
C-EEU-HRV,EEU,rur,d10,sfh,biomass_solid,0.387
C-EEU-HRV,EEU,rur,d10,sfh,coal,0.232
C-EEU-HRV,EEU,rur,d10,sfh,electricity,0.084
C-EEU-HRV,EEU,rur,d10,sfh,gas,0.264
C-EEU-HRV,EEU,rur,d10,sfh,oil,0.033
C-EEU-HRV,EEU,urb,d1,mfh,biomass_solid,0.000
C-EEU-HRV,EEU,urb,d1,mfh,coal,0.378
C-EEU-HRV,EEU,urb,d1,mfh,electricity,0.137
C-EEU-HRV,EEU,urb,d1,mfh,gas,0.431
C-EEU-HRV,EEU,urb,d1,mfh,oil,0.055
C-EEU-HRV,EEU,urb,d1,sfh,biomass_solid,0.000
C-EEU-HRV,EEU,urb,d1,sfh,coal,0.378
C-EEU-HRV,EEU,urb,d1,sfh,electricity,0.137
C-EEU-HRV,EEU,urb,d1,sfh,gas,0.431
C-EEU-HRV,EEU,urb,d1,sfh,oil,0.055
C-EEU-HRV,EEU,urb,d2,mfh,biomass_solid,0.000
C-EEU-HRV,EEU,urb,d2,mfh,coal,0.378
C-EEU-HRV,EEU,urb,d2,mfh,electricity,0.137
C-EEU-HRV,EEU,urb,d2,mfh,gas,0.431
C-EEU-HRV,EEU,urb,d2,mfh,oil,0.055
C-EEU-HRV,EEU,urb,d2,sfh,biomass_solid,0.000
C-EEU-HRV,EEU,urb,d2,sfh,coal,0.378
C-EEU-HRV,EEU,urb,d2,sfh,electricity,0.137
C-EEU-HRV,EEU,urb,d2,sfh,gas,0.431
C-EEU-HRV,EEU,urb,d2,sfh,oil,0.055
C-EEU-HRV,EEU,urb,d3,mfh,biomass_solid,0.000
C-EEU-HRV,EEU,urb,d3,mfh,coal,0.378
C-EEU-HRV,EEU,urb,d3,mfh,electricity,0.137
C-EEU-HRV,EEU,urb,d3,mfh,gas,0.431
C-EEU-HRV,EEU,urb,d3,mfh,oil,0.055
C-EEU-HRV,EEU,urb,d3,sfh,biomass_solid,0.000
C-EEU-HRV,EEU,urb,d3,sfh,coal,0.378
C-EEU-HRV,EEU,urb,d3,sfh,electricity,0.137
C-EEU-HRV,EEU,urb,d3,sfh,gas,0.431
C-EEU-HRV,EEU,urb,d3,sfh,oil,0.055
C-EEU-HRV,EEU,urb,d4,mfh,biomass_solid,0.000
C-EEU-HRV,EEU,urb,d4,mfh,coal,0.378
C-EEU-HRV,EEU,urb,d4,mfh,electricity,0.137
C-EEU-HRV,EEU,urb,d4,mfh,gas,0.431
C-EEU-HRV,EEU,urb,d4,mfh,oil,0.055
C-EEU-HRV,EEU,urb,d4,sfh,biomass_solid,0.000
C-EEU-HRV,EEU,urb,d4,sfh,coal,0.378
C-EEU-HRV,EEU,urb,d4,sfh,electricity,0.137
C-EEU-HRV,EEU,urb,d4,sfh,gas,0.431
C-EEU-HRV,EEU,urb,d4,sfh,oil,0.055
C-EEU-HRV,EEU,urb,d5,mfh,biomass_solid,0.000
C-EEU-HRV,EEU,urb,d5,mfh,coal,0.378
C-EEU-HRV,EEU,urb,d5,mfh,electricity,0.137
C-EEU-HRV,EEU,urb,d5,mfh,gas,0.431
C-EEU-HRV,EEU,urb,d5,mfh,oil,0.055
C-EEU-HRV,EEU,urb,d5,sfh,biomass_solid,0.000
C-EEU-HRV,EEU,urb,d5,sfh,coal,0.378
C-EEU-HRV,EEU,urb,d5,sfh,electricity,0.137
C-EEU-HRV,EEU,urb,d5,sfh,gas,0.431
C-EEU-HRV,EEU,urb,d5,sfh,oil,0.055
C-EEU-HRV,EEU,urb,d6,mfh,biomass_solid,0.000
C-EEU-HRV,EEU,urb,d6,mfh,coal,0.378
C-EEU-HRV,EEU,urb,d6,mfh,electricity,0.137
C-EEU-HRV,EEU,urb,d6,mfh,gas,0.431
C-EEU-HRV,EEU,urb,d6,mfh,oil,0.055
C-EEU-HRV,EEU,urb,d6,sfh,biomass_solid,0.000
C-EEU-HRV,EEU,urb,d6,sfh,coal,0.378
C-EEU-HRV,EEU,urb,d6,sfh,electricity,0.137
C-EEU-HRV,EEU,urb,d6,sfh,gas,0.431
C-EEU-HRV,EEU,urb,d6,sfh,oil,0.055
C-EEU-HRV,EEU,urb,d7,mfh,biomass_solid,0.000
C-EEU-HRV,EEU,urb,d7,mfh,coal,0.378
C-EEU-HRV,EEU,urb,d7,mfh,electricity,0.137
C-EEU-HRV,EEU,urb,d7,mfh,gas,0.431
C-EEU-HRV,EEU,urb,d7,mfh,oil,0.055
C-EEU-HRV,EEU,urb,d7,sfh,biomass_solid,0.000
C-EEU-HRV,EEU,urb,d7,sfh,coal,0.378
C-EEU-HRV,EEU,urb,d7,sfh,electricity,0.137
C-EEU-HRV,EEU,urb,d7,sfh,gas,0.431
C-EEU-HRV,EEU,urb,d7,sfh,oil,0.055
C-EEU-HRV,EEU,urb,d8,mfh,biomass_solid,0.000
C-EEU-HRV,EEU,urb,d8,mfh,coal,0.378
C-EEU-HRV,EEU,urb,d8,mfh,electricity,0.137
C-EEU-HRV,EEU,urb,d8,mfh,gas,0.431
C-EEU-HRV,EEU,urb,d8,mfh,oil,0.055
C-EEU-HRV,EEU,urb,d8,sfh,biomass_solid,0.000
C-EEU-HRV,EEU,urb,d8,sfh,coal,0.378
C-EEU-HRV,EEU,urb,d8,sfh,electricity,0.137
C-EEU-HRV,EEU,urb,d8,sfh,gas,0.431
C-EEU-HRV,EEU,urb,d8,sfh,oil,0.055
C-EEU-HRV,EEU,urb,d9,mfh,biomass_solid,0.000
C-EEU-HRV,EEU,urb,d9,mfh,coal,0.378
C-EEU-HRV,EEU,urb,d9,mfh,electricity,0.137
C-EEU-HRV,EEU,urb,d9,mfh,gas,0.431
C-EEU-HRV,EEU,urb,d9,mfh,oil,0.055
C-EEU-HRV,EEU,urb,d9,sfh,biomass_solid,0.000
C-EEU-HRV,EEU,urb,d9,sfh,coal,0.378
C-EEU-HRV,EEU,urb,d9,sfh,electricity,0.137
C-EEU-HRV,EEU,urb,d9,sfh,gas,0.431
C-EEU-HRV,EEU,urb,d9,sfh,oil,0.055
C-EEU-HRV,EEU,urb,d10,mfh,biomass_solid,0.000
C-EEU-HRV,EEU,urb,d10,mfh,coal,0.378
C-EEU-HRV,EEU,urb,d10,mfh,electricity,0.137
C-EEU-HRV,EEU,urb,d10,mfh,gas,0.431
C-EEU-HRV,EEU,urb,d10,mfh,oil,0.055
C-EEU-HRV,EEU,urb,d10,sfh,biomass_solid,0.000
C-EEU-HRV,EEU,urb,d10,sfh,coal,0.378
C-EEU-HRV,EEU,urb,d10,sfh,electricity,0.137
C-EEU-HRV,EEU,urb,d10,sfh,gas,0.431
C-EEU-HRV,EEU,urb,d10,sfh,oil,0.055
C-EEU-HUN,EEU,rur,d1,mfh,biomass_solid,0.387
C-EEU-HUN,EEU,rur,d1,mfh,coal,0.232
C-EEU-HUN,EEU,rur,d1,mfh,electricity,0.084
C-EEU-HUN,EEU,rur,d1,mfh,gas,0.264
C-EEU-HUN,EEU,rur,d1,mfh,oil,0.033
C-EEU-HUN,EEU,rur,d1,sfh,biomass_solid,0.387
C-EEU-HUN,EEU,rur,d1,sfh,coal,0.232
C-EEU-HUN,EEU,rur,d1,sfh,electricity,0.084
C-EEU-HUN,EEU,rur,d1,sfh,gas,0.264
C-EEU-HUN,EEU,rur,d1,sfh,oil,0.033
C-EEU-HUN,EEU,rur,d2,mfh,biomass_solid,0.387
C-EEU-HUN,EEU,rur,d2,mfh,coal,0.232
C-EEU-HUN,EEU,rur,d2,mfh,electricity,0.084
C-EEU-HUN,EEU,rur,d2,mfh,gas,0.264
C-EEU-HUN,EEU,rur,d2,mfh,oil,0.033
C-EEU-HUN,EEU,rur,d2,sfh,biomass_solid,0.387
C-EEU-HUN,EEU,rur,d2,sfh,coal,0.232
C-EEU-HUN,EEU,rur,d2,sfh,electricity,0.084
C-EEU-HUN,EEU,rur,d2,sfh,gas,0.264
C-EEU-HUN,EEU,rur,d2,sfh,oil,0.033
C-EEU-HUN,EEU,rur,d3,mfh,biomass_solid,0.387
C-EEU-HUN,EEU,rur,d3,mfh,coal,0.232
C-EEU-HUN,EEU,rur,d3,mfh,electricity,0.084
C-EEU-HUN,EEU,rur,d3,mfh,gas,0.264
C-EEU-HUN,EEU,rur,d3,mfh,oil,0.033
C-EEU-HUN,EEU,rur,d3,sfh,biomass_solid,0.387
C-EEU-HUN,EEU,rur,d3,sfh,coal,0.232
C-EEU-HUN,EEU,rur,d3,sfh,electricity,0.084
C-EEU-HUN,EEU,rur,d3,sfh,gas,0.264
C-EEU-HUN,EEU,rur,d3,sfh,oil,0.033
C-EEU-HUN,EEU,rur,d4,mfh,biomass_solid,0.387
C-EEU-HUN,EEU,rur,d4,mfh,coal,0.232
C-EEU-HUN,EEU,rur,d4,mfh,electricity,0.084
C-EEU-HUN,EEU,rur,d4,mfh,gas,0.264
C-EEU-HUN,EEU,rur,d4,mfh,oil,0.033
C-EEU-HUN,EEU,rur,d4,sfh,biomass_solid,0.387
C-EEU-HUN,EEU,rur,d4,sfh,coal,0.232
C-EEU-HUN,EEU,rur,d4,sfh,electricity,0.084
C-EEU-HUN,EEU,rur,d4,sfh,gas,0.264
C-EEU-HUN,EEU,rur,d4,sfh,oil,0.033
C-EEU-HUN,EEU,rur,d5,mfh,biomass_solid,0.387
C-EEU-HUN,EEU,rur,d5,mfh,coal,0.232
C-EEU-HUN,EEU,rur,d5,mfh,electricity,0.084
C-EEU-HUN,EEU,rur,d5,mfh,gas,0.264
C-EEU-HUN,EEU,rur,d5,mfh,oil,0.033
C-EEU-HUN,EEU,rur,d5,sfh,biomass_solid,0.387
C-EEU-HUN,EEU,rur,d5,sfh,coal,0.232
C-EEU-HUN,EEU,rur,d5,sfh,electricity,0.084
C-EEU-HUN,EEU,rur,d5,sfh,gas,0.264
C-EEU-HUN,EEU,rur,d5,sfh,oil,0.033
C-EEU-HUN,EEU,rur,d6,mfh,biomass_solid,0.387
C-EEU-HUN,EEU,rur,d6,mfh,coal,0.232
C-EEU-HUN,EEU,rur,d6,mfh,electricity,0.084
C-EEU-HUN,EEU,rur,d6,mfh,gas,0.264
C-EEU-HUN,EEU,rur,d6,mfh,oil,0.033
C-EEU-HUN,EEU,rur,d6,sfh,biomass_solid,0.387
C-EEU-HUN,EEU,rur,d6,sfh,coal,0.232
C-EEU-HUN,EEU,rur,d6,sfh,electricity,0.084
C-EEU-HUN,EEU,rur,d6,sfh,gas,0.264
C-EEU-HUN,EEU,rur,d6,sfh,oil,0.033
C-EEU-HUN,EEU,rur,d7,mfh,biomass_solid,0.387
C-EEU-HUN,EEU,rur,d7,mfh,coal,0.232
C-EEU-HUN,EEU,rur,d7,mfh,electricity,0.084
C-EEU-HUN,EEU,rur,d7,mfh,gas,0.264
C-EEU-HUN,EEU,rur,d7,mfh,oil,0.033
C-EEU-HUN,EEU,rur,d7,sfh,biomass_solid,0.387
C-EEU-HUN,EEU,rur,d7,sfh,coal,0.232
C-EEU-HUN,EEU,rur,d7,sfh,electricity,0.084
C-EEU-HUN,EEU,rur,d7,sfh,gas,0.264
C-EEU-HUN,EEU,rur,d7,sfh,oil,0.033
C-EEU-HUN,EEU,rur,d8,mfh,biomass_solid,0.387
C-EEU-HUN,EEU,rur,d8,mfh,coal,0.232
C-EEU-HUN,EEU,rur,d8,mfh,electricity,0.084
C-EEU-HUN,EEU,rur,d8,mfh,gas,0.264
C-EEU-HUN,EEU,rur,d8,mfh,oil,0.033
C-EEU-HUN,EEU,rur,d8,sfh,biomass_solid,0.387
C-EEU-HUN,EEU,rur,d8,sfh,coal,0.232
